Count,Name,Example,Action Type,Category,Description
129,Battle Cry,Orc War Chief,Action,AOE Buff,"Each creature of the $'s choice that is within ## feet of it, can hear it, and is not already affected by the Battle Cry gain advantage on attack rolls until the start of the $'s next turn. The $ can then make one attack as a bonus action."
215,Leadership,Hobgoblin Captain,Action,AOE Buff,"For 1 minute, the $ can utter a special command or warning whenever a nonhostile creature that it can see within 30 feet of it makes an attack roll or saving throw. The $ can add a d4 to its roll provided it can hear and understand the $ A creature can benefit from only one Leadership die at a time. This effect ends if the hobgoblin is incapacitated."
332,Bolster,Empyrean,Legendary Action,AOE Buff,"The $ bolsters all nonhostile creatures within 120 feet of it until the end of its next turn. Bolstered creatures can't be charmed or frightened, and they gain advantage on ability checks and saving throws until the end of the $'s next turn."
70,Marshal Undead,Death Knight,Special Ability,AOE Buff,"Unless the $ is incapacitated, it and undead creatures of its choice within 60 feet of it have advantage on saving throws against features that turn undead."
282,Spores,Vrock,Action,AOE Damage,"A sphere of toxic spores extend out from the $. The spores spread around corners. Each creature in that area must succeed on a DC ## Constitution saving throw or become poisoned. While poisoned in this way, a target takes poison damage at the start of each of its turns. A target can repeat the saving throw at the end of each of its turn, ending the effect on itself on a success. Emptying a vial of holy water on the target also ends the effect on it."
317,Whirlwind,Air Elemental,Action,AOE Damage,"Each creature in the $'s space must make a a DC ## Strength saving throw. On a failure the target takes bludgeoning damage and is flung up 20 feet away from the elemental in a random direction and knocked prone. If a thrown target strikes an object, such as a wall or floor, the target takes additional bludgeoning damage for every 10 feet it was thrown. If the target is thrown at another creature, that creature must make a DC ## Dexterity saving throw or take the same damage and be knocked prone. If the saving throw is successful, the target takes half the bludgeoning damage and isn't flung away or knocked prone."
315,Whelm,Water Elemental,Action,AOE Damage,"Each creature in the $'s space must make a DC ## Strength saving throw. On a failure, the target takes bludgeoning damage. If it is a same size or smaller, it is also grappled (escape DC ##). Until this grapple ends, the target is restrained and unable to breathe unless it can breathe water. If the saving throw is successful, the target is pushed out of the $'s space. The $ can grapple one same size creature or up to two one size smaller or smaller creatures at one time. At the start of each of the $'s turns, each target grappled by it takes bludgeoning damage. A creature within 5 feet of the $ can pull a creature or object out of it by taking an action to make a DC ## Strength check and succeeding."
340,Energy Drain,Demilich,Legendary Action,AOE Damage,"Each creature within 30 feet of the $ must make a DC ## Constitution saving throw. On a failed save, the $'s hit point maximum is magically reduced. If a creature's hit point maximum is reduced to 0 by this effect, the $ dies. A creature's hit point maximum can be restored with the greater restoration spell or similar magic."
339,Disrupt Life,Lich,Legendary Action,AOE Damage,"Each living creature within 20 feet of the $ must make a DC ## Constitution saving throw against this magic, taking necrotic damage on a failed save, or half as much damage on a successful one."
352,Searing Burst,Solar,Legendary Action,AOE Damage,"The $ emits magical, divine energy. Each creature of its choice in a sphere must make a DC ## Dexterity saving throw, taking fire and radiant damage on a failed save, or half as much damage on a successful one."
186,Frost Breath,Ice Mephit,Action,AOE Damage,"The $ exhales a cone of cold air. Each creature in the area must succeed on a DC ## Dexterity saving throw, taking cold damage on a failed save, or half as much damage on a successful one."
217,Lightning Breath,Behir,Action,AOE Damage,"The $ exhales a line of lightning. Each creature in that line must make a DC ## Dexterity saving throw, taking ligtning damage on a failed save, or half as much on a successful one."
122,Acid Breath,Black Dragon,Action,AOE Damage,"The $ exhales acid in a line. Each creature in that line must make a Dexterity saving throw, taking acid damage on a failed save, or half as much on a successful one."
148,Cold Breath,White Dragon,Action,AOE Damage,"The $ exhales an icy blast in a cone. Each creature in that area must make a DC ## Constitution saving throw, taking cold damage on a failed save, or half as much damage on a successful one."
139,Breath Weapon,Dragons,Action,AOE Damage,"The $ exhales damage type in a line/cone. Each creature in that line/cone must make a DC ## Dexterity saving throw, taking type damage on a failed save, or half as much damage on a successful one."
179,Fire Breath,Chimera,Action,AOE Damage,"The $ exhales fire in a cone. Each creature in that area must make a DC ## Dexterity saving throw, taking fire damage on a failed save, or half as much damage on a successful one."
242,Poison Breath,Green Dragon,Action,AOE Damage,"The $ exhales poisonous gas in a cone. Each creature in the area must make a DC ## Constitution saving throw, taking poison damage on a failed save, or half as much damage on a successful one."
284,Steam Breath,Dragon Turtle,Action,AOE Damage,"The $ exhales scalding steam in a cone. Each creature in that area must make a DC ## Constitution saving throw, taking fire damage on a failed save, or half as much damage on a successful one. Being underwater doesn't grant resistance against this damage."
263,Shadow Breath,Red Shadow Dragon,Action,AOE Damage,"The $ exhales shadowy fire in a cone. Each creature in that area must make a DC ## Dexterity saving throw, taking necrotic damage on a failed save, or half as much damage on a successful one. A humanoid reduced to 0 hit points by this damage dies, and an undead shadow rises from its corpose and acts immediately after the $ on the initiative count. The shadow is under the $'s control."
199,Hellfire Orb,Death Knight,Action,AOE Damage,"The $ hurls a magical ball of fire that explodes at a point it can see within 120 feet. Each creature in a sphere centered on that point must make a DC ## Dexterity saving throw. The sphere spreads around corners. A creature takes fire damage and necrotic damage on a failed save, or half as much damage on a successful one."
219,Lightning Strike,Storm Giant,Action,AOE Damage,"The $ hurls a magical lightning bolt at a point it can see within 500 feet of it. Each creature within 10 feet of that point must make a DC ## Dexterity saving throw, taking lightning damage on a failed save, and half as much damage on a successful one."
123,Acid Spray,Ankheg,Action,AOE Damage,"The $ spits acid in a line, provided that it has no creature grappled. Each creature in that line must make a DC ## Dexterity saving throw, taking acid damage on a failed save, or half as much damage on a successful one."
348,Lightning Storm,Kraken,Legendary Action,AOE Damage,The $ uses Lightning Storm.
30,Death Burst,Magmin,Special Ability,AOE Damage,"When the $ dies, it explodes in a burst of fire and magma. Each creature within ## feet of it must make a DC ## Dexterity saving throw, taking type damage on a failed save, or half as much on a successful one. If fire: Flammable objects that aren't being worn or carried in that area are ignited."
153,Create Whirlwind,Djinni,Action,AOE Debuff,"A 5-foot radius, 30-foot tall cylinder of swirling air magically forms on a point the $ can see within 120 feet of it. The whirlwind lasts as long as the $ maintains concentration (as if concentrating on a spell). Any creature but the $ that enters the whirlwind must succeed on a DC ## Strength saving throw or be restrained by it. The $ can move the whirlwind up to 60 feet as an action, and creatures restrained by the whirlwind move with it. The whirlwind ends if the $ loses sight of it. A creature can use its action to free a creature restrained by the whirlwind, including itself, by succeeding on a DC ## Strength check. If the check succeeds, the $ is no longer restrained and moves to the nearest space outside the whirlwind."
176,Fetid Cloud,Dretch,Action,AOE Debuff,"A sphere of disgusting green gas extends out from the $. The gas spreads around corners and its area is lightly obscured. It lasts for 1 minute or until a strong wind disperses it. Any creature that starts its turn in that area must succeed on a DC 11 Constitution saving throw or be poisoned until the start of its next turn. While poisoned in this way, the target can take either an action or a bonus action on its turn, not both, and can't take reactions."
