Name,Family,Size,Type,Align.,AC,HP,Speeds,STR,DEX,CON,INT,WIS,CHA,Sav. throws,Skills,Weaknesses,Resistances,Damage Immunities,Condition Immunities,Senses,Languages,CR,Features,Source
Aarakocra,,Medium,humanoid,neutral good,12,13,"20 ft., fly 50 ft.",10,14,10,11,12,11,,Perception,,,,,,Auran,4-Jan,Dive Attack,Monster Manual
Aboleth,,Large,aberration,lawful evil,17,135,"10 ft., swim 40 ft.",21,9,15,18,15,18,"Con, Int, Wis","History, Perception",,,,,darkvision 120 ft.,"Deep Speech, Telepathy 120",10,"Amphibious,  Mucous Cloud, Probing Telepathy, Legendary, Lair",Monster Manual
Albino Dwarf Warrior,,Medium,humanoid (dwarf),ANY,13,30,25 ft.,13,13,17,12,14,11,,"Perception, Stealth, Survival",,poison,,,darkvision 60 ft.,"Common, Dwarvish",4-Jan,Dwarven Resilience,Tomb of Annihilation
Aldani (Lobsterfolk),,Medium,monstrosity,lawful neutral,14,49,"20 ft., swim 30 ft.",13,8,12,10,14,10,,"Perception, Survival",,,,,darkvision 60 ft.,Common,1,Amphibious,Tomb of Annihilation
Allip,,Medium,undead,neutral evil,13,40,fly 40 ft.,6,17,10,17,15,16,"Int, Wis","Perception, Stealth",,"acid, fire, lightning, thunder, nonmagical","cold, necrotic, poison","charmed, exhaustion, frightened, grappled, paralyzed, petrified, poisoned, prone, restrained",darkvision 60 ft.,Any,5,Incorporeal Movement,Mordenkainen's Tome of Foes
Almiraj,,Small,beast,unaligned,13,3,50 ft.,2,16,10,2,14,10,,"Perception, Stealth",,,,,"darkvision 30 ft., tremorsense 60 ft.",,0,"Keen Hearing, Keen Sight",Tomb of Annihilation
Ambush Drake,,Medium,dragon,unaligned,13,22,30 ft.,13,15,14,4,11,6,,"Perception, Stealth",,poison,,,darkvision 60 ft.,Draconic,2-Jan,"Pack Tactics, Surprise Attack",Hoard of the Dragon Queen
Deva,Angel,Medium,celestial,lawful good,17,136,"30 ft., fly 90 ft.",18,18,18,17,20,20,"Wis, Cha","Insight, Perception",,"radiant, nonmagical",,"charmed, exhaustion, frightened",darkvision 120 ft.,"All, Telepathy 120",10,"Angelic Weapons, Innate Spellcasting, Magic Resistance",Monster Manual
Planetar,Angel,Large,celestial,lawful good,19,200,"40 ft., fly 120 ft.",24,20,24,19,22,25,"Con, Wis, Cha",Perception,,"radiant, nonmagical",,"charmed, exhaustion, frightened",truesight 120 ft.,"All, telepathy 120",16,"Angelic Weapons, Divine Awareness, Innate Spellcasting, Magic Resistance",Monster Manual
Solar,Angel,Large,celestial,lawful good,21,243,"50 ft., fly 150 ft.",26,22,26,25,25,30,"Int, Wis, Cha",Perception,,"radiant, nonmagical","necrotic, poison, poison","charmed, exhaustion, frightened",truesight 120 ft.,"All, telepathy 120",21,"Angelic Weapons, Divine Awareness, Innate Spellcasting, Magic Resistance, Legendary",Monster Manual
